sep=;
Time;Timestamp;Event;Count Rate, cps;Dose rate, R/h;Dose Rate Error, %;Dose Rate Alarm;Dose Alarm;Duration of dose accumulation, sec.;Dose, R;Temperature;Latitude;Longitude;Comment
2026-03-28 22:12:48.857;134192095688570000;;;;;0;0;421114;0.002364;-26.3;;;
2026-03-28 22:12:49.457;134192095694570000;;38.05;1.7932129E-4;19.6;0;0;;;;;;
2026-03-28 22:12:58.457;134192095784570000;;36.3;1.7162597E-4;19.6;0;0;;;;;;
2026-03-28 22:13:00.457;134192095804570000;;31.791666;1.2000122E-4;20.9;0;0;;;;;;
2026-03-28 22:13:22.457;134192096024570000;;32.291668;1.3623657E-4;20.9;0;0;;;;;;
2026-03-28 22:13:24.457;134192096044570000;;40.25;1.4848633E-4;47.1;0;0;;;;;;
2026-03-28 22:13:27.337;134192096073370000;;28.25;1.045044E-4;47.1;0;0;;;;;;
2026-03-28 22:13:27.575;134192096075750000;;122.0;1.9970704E-4;92.6;0;0;;;;;;
2026-03-28 22:13:27.705;134192096077050000;;122.0;1.9970704E-4;92.6;0;0;;;;;;
2026-03-28 22:13:28.075;134192096080750000;;56.0;2.810547E-4;99.0;0;0;;;;;;
2026-03-28 22:13:28.455;134192096084550000;;41.0;1.4599609E-4;99.0;0;0;;;;;;
2026-03-28 22:13:29.455;134192096094550000;;14.0;4.5996094E-5;99.0;0;0;;;;;;
2026-03-28 22:13:30.075;134192096100750000;;44.4;1.4324219E-4;60.4;0;0;;;;;;
2026-03-28 22:13:32.205;134192096122050000;;44.4;1.496875E-4;60.4;0;0;;;;;;
2026-03-28 22:13:32.705;134192096127050000;;24.0;5.218506E-5;57.0;0;0;;;;;;
2026-03-28 22:13:36.205;134192096162050000;;39.0;1.8652344E-4;57.0;0;0;;;;;;
2026-03-28 22:13:36.705;134192096167050000;;38.0;1.09960936E-4;86.9;0;0;;;;;;
2026-03-28 22:13:36.955;134192096169550000;;52.0;1.9873047E-4;86.9;0;0;;;;;;
2026-03-28 22:13:37.705;134192096177050000;;26.0;7.0898436E-6;67.0;0;0;;;;;;
2026-03-28 22:13:39.955;134192096199550000;;26.8;4.9248047E-5;67.0;0;0;;;;;;
2026-03-28 22:13:43.705;134192096237050000;;33.05;1.368037E-4;9.8;0;0;;;;;;
2026-03-28 22:13:48.857;134192096288570000;;;;;0;0;421174;0.002367;-27.6;;;
2026-03-28 22:14:32.455;134192096724550000;;35.98;1.4229638E-4;9.8;0;0;;;;;;
2026-03-28 22:14:48.855;134192096888550000;;;;;0;0;421234;0.0023689999;-28.9;;;
