Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),AnalogTemp ADC_Read
12758,26.202177047729492,-0.569819986820221,1.1300631761550903,9.672574996948242,0.012770702131092548,0.015431264415383339,-0.03990844264626503,34.650001525878906,34.04999923706055,110.25,30.488723754882812,2026,3,28,9,0,52,29.265625,28.812814712524414,97003,14.409674644470215,15180,1.6694490909576416,0.5709515810012817,0.0,0.0,0.0,,,,,,,31.2265625,31.260000228881836,16.850000381469727,,
13758,,-1.0630255937576294,1.015141487121582,9.706093788146973,-0.051614921540021896,0.056403931230306625,-0.11387208849191666,34.650001525878906,31.5,109.05000305175781,30.536645889282227,,,,,,,29.2734375,28.805566787719727,97003,14.37410831451416,16293,,,0.0,0.0,0.0,,,,,,,31.2734375,31.25,16.899999618530273,,
14655,26.67032241821289,-0.4884171485900879,1.173158884048462,9.734824180603027,-0.04576168209314346,-0.025541404262185097,-0.17825771868228912,37.04999923706055,32.400001525878906,107.55000305175781,30.249109268188477,2026,3,28,9,0,54,29.2734375,28.813756942749023,97003,14.37448501586914,17311,0.5271481275558472,0.18028466403484344,0.0,0.0,0.0,,,,,,,31.140625,31.260000228881836,16.90999984741211,,
15555,,-1.1204863786697388,1.139639973640442,9.682151794433594,-0.1388813853263855,-0.02607351541519165,0.18517518043518066,35.54999923706055,34.349998474121094,109.3499984741211,30.344955444335938,,,,,,,29.2734375,28.821950912475586,97003,14.359763145446777,18369,,,0.0,0.0,0.0,,,,,,,31.0703125,31.229999542236328,16.84000015258789,,
16452,26.67032241821289,-0.8379706144332886,0.8810662031173706,9.715670585632324,0.003192675532773137,0.046293795108795166,-0.025009291246533394,34.20000076293945,34.349998474121094,110.4000015258789,30.39287757873535,2026,3,28,9,0,56,29.2734375,28.830455780029297,97003,14.350086212158203,19512,0.0,0.0,0.0,0.0,0.0,,,,,,,31.0859375,31.170000076293945,16.8799991607666,,
17351,,-0.9864110946655273,1.0103530883789062,9.624691009521484,0.07396364957094193,-0.021284503862261772,-0.09205547720193863,34.20000076293945,35.099998474121094,108.5999984741211,30.488723754882812,,,,,,,29.28125,28.836441040039062,97003,14.345328330993652,20545,,,0.0,0.0,0.0,,,,,,,31.0859375,31.18000030517578,16.950000762939453,,
18248,26.67032241821289,-0.8044517636299133,1.1348515748977661,9.643844604492188,0.006385351065546274,0.008513801731169224,-0.038844216614961624,33.75,35.099998474121094,108.9000015258789,30.536645889282227,2026,3,28,9,0,57,29.28125,28.841482162475586,97003,14.370720863342285,21563,0.5564830303192139,0.19031719863414764,0.0,0.0,0.0,,,,,,,31.046875,31.15999984741211,17.020000457763672,,
19147,,-0.9385270476341248,1.015141487121582,9.739612579345703,0.00691746361553669,0.04895435646176338,0.04469745606184006,34.650001525878906,33.29999923706055,110.55000305175781,30.58456802368164,,,,,,,29.28125,28.84589195251465,97002,14.3910551071167,22543,,,0.0,0.0,0.0,,,,,,,31.0625,31.149999618530273,17.079999923706055,,
20044,26.67032241821289,-1.0247182846069336,1.0534487962722778,9.691728591918945,0.06385350972414017,0.025009291246533394,0.011706477031111717,34.650001525878906,34.5,109.5,30.6804141998291,2026,3,28,9,0,59,29.28125,28.849990844726562,97003,14.411380767822266,24060,0.0,0.0,0.0,0.0,0.0,,,,,,,31.0546875,31.1200008392334,17.049999237060547,,
20943,,-0.9768342971801758,1.1779472827911377,9.682151794433594,-0.04310112074017525,0.017027603462338448,-0.06438562273979187,35.099998474121094,35.70000076293945,110.25,30.6804141998291,,,,,,,29.28125,28.853769302368164,97003,14.421622276306152,24946,,,0.0,0.0,0.0,,,,,,,31.046875,31.18000030517578,17.110000610351562,,
