Millis,PicoTemp Temp (C),ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),BME688 Temp (C),BME688 Pressure,BME688 Rel Hum (%),BME688 Gas Resistance,Geiger CPS,Geiger Dose (uSv/hr),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog ADC
9182,29.01100730895996,0.9959878921508789,-0.14844051003456116,9.710882186889648,0.0,0.0026605629827827215,-0.023945065215229988,-11.399999618530273,12.600000381469727,79.6500015258789,26.798664093017578,2000,1,0,0,0,28,25.4609375,25.181926727294922,96895,17.71187400817871,64434,0.5263158082962036,0.18000000715255737,0.0,0.0,0.0,,,,,,,25.640625,25.610000610351562,21.899999618530273,,574
10083,,0.9576807022094727,-0.15801730751991272,9.730035781860352,-0.0047890134155750275,0.003192675532773137,-0.021284503862261772,-7.949999809265137,12.600000381469727,79.6500015258789,26.9903564453125,,,,,,,25.453125,25.196733474731445,96895,17.692123413085938,66545,,,0.0,0.0,0.0,,,,,,,25.640625,25.639999389648438,21.93000030517578,,603
10982,28.542863845825195,1.0007762908935547,-0.13407529890537262,9.691728591918945,-0.007449576165527105,0.00691746361553669,-0.018091827630996704,-9.899999618530273,12.149999618530273,79.6500015258789,26.846586227416992,2000,1,0,0,0,30,25.4609375,25.21027946472168,96896,17.646636962890625,68798,0.0,0.0,0.0,0.0,0.0,,,,,,,25.6328125,25.6299991607666,21.8700008392334,,576
11883,,0.9576807022094727,-0.11013327538967133,9.658209800720215,-0.001064225216396153,0.00691746361553669,-0.023945065215229988,-8.550000190734863,12.0,77.4000015258789,26.654895782470703,,,,,,,25.46875,25.221620559692383,96895,17.616443634033203,71210,,,0.0,0.0,0.0,,,,,,,25.625,25.6200008392334,21.889999389648438,,599
12782,29.01100730895996,0.9576807022094727,-0.1149216815829277,9.768342971801758,-0.0026605629827827215,0.0037247880827635527,-0.020220277830958366,-10.649999618530273,11.699999809265137,78.9000015258789,26.89451026916504,2000,1,0,0,0,32,25.46875,25.231388092041016,96895,17.591304779052734,73038,0.0,0.0,0.0,0.0,0.0,,,,,,,25.625,25.6200008392334,21.889999389648438,,573
13784,29.01100730895996,0.9816226959228516,-0.16759411990642548,9.715670585632324,-0.009045913815498352,0.00691746361553669,-0.018091827630996704,-8.25,10.800000190734863,77.69999694824219,26.798664093017578,2000,1,0,0,0,33,25.46875,25.225086212158203,96896,17.565311431884766,73860,0.9990010261535645,0.341658353805542,0.0,0.0,0.0,,,,,,,25.625,25.6200008392334,21.8799991607666,,567
14685,,0.9193734526634216,-0.17238251864910126,9.701305389404297,-0.0026605629827827215,-0.002128450432792306,-0.023412954062223434,-10.649999618530273,9.899999618530273,79.3499984741211,27.18204689025879,,,,,,,25.46875,25.232332229614258,96896,17.555437088012695,76304,,,0.0,0.0,0.0,,,,,,,25.625,25.610000610351562,21.860000610351562,,595
15583,29.01100730895996,0.9576807022094727,-0.14365209639072418,9.725247383117676,0.0015963377663865685,0.010642251931130886,-0.01915605366230011,-13.5,11.399999618530273,81.44999694824219,27.086200714111328,2000,1,0,0,0,35,25.4765625,25.238948822021484,96895,17.5352725982666,77481,0.0,0.0,0.0,0.0,0.0,,,,,,,25.6171875,25.600000381469727,21.889999389648438,,580
16484,,0.9816226959228516,-0.13407529890537262,9.749189376831055,-0.007981688715517521,0.0037247880827635527,-0.018091827630996704,-11.100000381469727,10.800000190734863,80.25,26.559049606323242,,,,,,,25.4765625,25.246509552001953,96896,17.520288467407227,78842,,,0.0,0.0,0.0,,,,,,,25.6171875,25.6299991607666,21.8799991607666,,603
17383,29.479116439819336,0.9768342971801758,-0.1388636976480484,9.710882186889648,-0.00691746361553669,0.0026605629827827215,-0.018623940646648407,-11.100000381469727,10.5,80.25,27.086200714111328,2000,1,0,0,0,36,25.46875,25.253124237060547,96896,17.500123977661133,80250,0.5558643937110901,0.1901056170463562,0.0,0.0,0.0,,,,,,,25.6171875,25.639999389648438,21.860000610351562,,572
